Date,Close_Price,ChatGPT,Days
18-January-2022,2520.85,,
19-January-2022,2521.4,,
20-January-2022,2478.8,,
21-January-2022,2478.1,,
24-January-2022,2377.55,-1,
25-January-2022,2373.7,,
27-January-2022,2338.25,,
28-January-2022,2335.4,,
31-January-2022,2386.35,,
1-February-2022,2380.45,,
2-February-2022,2383.5,,
3-February-2022,2352.7,,
4-February-2022,2331.8,,
7-February-2022,2317.65,,
8-February-2022,2355.6,,
9-February-2022,2383.95,,
10-February-2022,2379,,
11-February-2022,2376.85,-1,
14-February-2022,2338.8,,
15-February-2022,2417.35,,
16-February-2022,2412.35,,
17-February-2022,2444.9,1,30
18-February-2022,2424.15,,
21-February-2022,2400.15,1,180
22-February-2022,2388.2,,
23-February-2022,2373.8,,
24-February-2022,2255.6,,
25-February-2022,2283.95,,
28-February-2022,2359.1,1,60
2-March-2022,2398.4,,
3-March-2022,2378.2,1,180
4-March-2022,2325.35,1,90
7-March-2022,2239.95,,
8-March-2022,2236.7,,
9-March-2022,2353.8,,
10-March-2022,2393.25,,
11-March-2022,2398.5,,
14-March-2022,2418.55,,
15-March-2022,2363.45,,
16-March-2022,2403.25,,
17-March-2022,2479.65,,
21-March-2022,2467.15,,
22-March-2022,2531.1,,
23-March-2022,2539.7,,
24-March-2022,2577.9,,
25-March-2022,2596.7,,
28-March-2022,2621.65,,
29-March-2022,2622.15,,
30-March-2022,2673,,
31-March-2022,2633.95,,
1-April-2022,2654.45,,
4-April-2022,2663.05,,
5-April-2022,2625.4,,
6-April-2022,2619.35,,
7-April-2022,2571.75,,
8-April-2022,2616.75,,
11-April-2022,2609.8,,
12-April-2022,2560.15,,
13-April-2022,2552.45,,
18-April-2022,2544.15,,
19-April-2022,2638.45,,
20-April-2022,2718.4,1,180
21-April-2022,2782.15,,
22-April-2022,2758.45,,
25-April-2022,2694.85,,
26-April-2022,2775.7,,
27-April-2022,2777.9,,
28-April-2022,2819.2,,
29-April-2022,2790.8,,
2-May-2022,2780.55,,
4-May-2022,2693.15,,
5-May-2022,2640.75,,
6-May-2022,2621.15,,
9-May-2022,2517.15,,
10-May-2022,2473.25,,
11-May-2022,2449.75,,
12-May-2022,2400.95,,
13-May-2022,2428.05,,
16-May-2022,2427.4,,
17-May-2022,2530.7,,
18-May-2022,2538.8,,
19-May-2022,2479.2,,
20-May-2022,2622.15,,
23-May-2022,2605.95,,
24-May-2022,2616,,
25-May-2022,2611.15,,
26-May-2022,2587.45,,
27-May-2022,2575.2,,
30-May-2022,2663.75,,
31-May-2022,2633.9,,
1-June-2022,2632.2,,
2-June-2022,2724.5,,
3-June-2022,2779.5,,
6-June-2022,2766.9,,
7-June-2022,2772.5,,
8-June-2022,2724.3,,
9-June-2022,2798.6,,
10-June-2022,2714,,
13-June-2022,2662.8,,
14-June-2022,2627.35,,
15-June-2022,2596.3,,
16-June-2022,2559.2,,
17-June-2022,2589.3,,
20-June-2022,2542.8,,
21-June-2022,2584.55,,
22-June-2022,2505.2,,
23-June-2022,2464.6,,
24-June-2022,2500.75,,
27-June-2022,2491.95,,
28-June-2022,2529,,
29-June-2022,2579.05,,
30-June-2022,2594.05,1,90
1-July-2022,2408.95,,
4-July-2022,2413.95,,
5-July-2022,2433.2,,
6-July-2022,2411.95,,
7-July-2022,2387.65,,
8-July-2022,2391.5,,
11-July-2022,2423.2,,
12-July-2022,2420.15,,
13-July-2022,2377.3,,
14-July-2022,2396.95,,
15-July-2022,2401.55,,
18-July-2022,2422.15,,
19-July-2022,2441.2,,
20-July-2022,2501.4,,
21-July-2022,2487.4,,
22-July-2022,2502.9,,
25-July-2022,2420.15,,
26-July-2022,2420.5,,
27-July-2022,2419.25,,
28-July-2022,2457.25,,
29-July-2022,2508.75,,
1-August-2022,2575.1,,
2-August-2022,2583.1,,
3-August-2022,2605.8,,
4-August-2022,2571.4,,
5-August-2022,2533.95,,
8-August-2022,2566.8,,
10-August-2022,2581.95,,
11-August-2022,2590.2,,
12-August-2022,2632.65,,
16-August-2022,2650.55,,
17-August-2022,2664.45,,
18-August-2022,2660.65,,
19-August-2022,2613.6,,
22-August-2022,2606.7,,
23-August-2022,2647.5,,
24-August-2022,2639.05,,
25-August-2022,2630.5,,
26-August-2022,2618.75,,
29-August-2022,2596.8,,
30-August-2022,2639.1,,
1-September-2022,2560.2,,
2-September-2022,2529.8,,
5-September-2022,2570.25,,
6-September-2022,2595.4,,
7-September-2022,2581.15,,
8-September-2022,2585.2,,
9-September-2022,2568.6,,
12-September-2022,2597.6,1,30
13-September-2022,2620.15,,
14-September-2022,2587.8,,
15-September-2022,2561.75,,
16-September-2022,2499.3,,
19-September-2022,2502.35,,
20-September-2022,2502.05,,
21-September-2022,2509.25,,
22-September-2022,2485.9,,
23-September-2022,2439.35,,
26-September-2022,2377.5,,
27-September-2022,2395.4,,
28-September-2022,2332.1,,
29-September-2022,2325.3,,
30-September-2022,2377.7,,
3-October-2022,2374.3,,
4-October-2022,2413.05,,
6-October-2022,2422.65,,
7-October-2022,2433.25,,
10-October-2022,2405.75,,
11-October-2022,2357.25,,
12-October-2022,2375.05,1,90
13-October-2022,2383.85,,
14-October-2022,2371,,
17-October-2022,2410,,
18-October-2022,2450.55,,
19-October-2022,2496.5,,
20-October-2022,2500.9,,
21-October-2022,2471.95,,
24-October-2022,2479.7,1,90
25-October-2022,2441.85,,
27-October-2022,2450.1,,
28-October-2022,2526,,
31-October-2022,2549.55,,
1-November-2022,2529.75,,
2-November-2022,2545.4,,
3-November-2022,2555.95,,
4-November-2022,2592.45,,
7-November-2022,2606.15,,
9-November-2022,2603,,
10-November-2022,2574.45,,
11-November-2022,2631.35,,
14-November-2022,2617.95,,
15-November-2022,2606.7,,
16-November-2022,2591.85,,
17-November-2022,2601.3,,
18-November-2022,2597.55,,
21-November-2022,2550.05,,
22-November-2022,2564.3,,
23-November-2022,2556.45,,
24-November-2022,2582.55,,
25-November-2022,2617.05,,
28-November-2022,2708.05,,
29-November-2022,2711.05,,
30-November-2022,2732.4,,
1-December-2022,2722.95,,
2-December-2022,2722.65,,
5-December-2022,2682.85,,
6-December-2022,2688.25,,
7-December-2022,2649.9,,
8-December-2022,2649.5,,
9-December-2022,2609.1,,
12-December-2022,2612.25,,
13-December-2022,2624.2,,
14-December-2022,2614.9,,
15-December-2022,2578.75,,
16-December-2022,2565.1,,
19-December-2022,2600,,
20-December-2022,2621.15,,
21-December-2022,2584.4,,
22-December-2022,2577.9,,
23-December-2022,2501.55,,
26-December-2022,2524.5,,
27-December-2022,2545.05,,
28-December-2022,2544.45,,
29-December-2022,2542.55,,
30-December-2022,2548.2,,
2-January-2023,2575.15,,
3-January-2023,2557,,
4-January-2023,2518.15,,
5-January-2023,2513.5,1,90
6-January-2023,2537.25,,
9-January-2023,2596.55,,
10-January-2023,2557.95,,
11-January-2023,2525.5,,
12-January-2023,2472.1,,
13-January-2023,2467.35,,
16-January-2023,2444.7,-1,
17-January-2023,2478.55,0,
18-January-2023,2474.6,,
19-January-2023,2471.1,,
20-January-2023,2442.7,,
23-January-2023,2429.6,,
24-January-2023,2415.15,,
25-January-2023,2382.95,,
27-January-2023,2337.75,,
30-January-2023,2351.3,,
31-January-2023,2353.9,,
1-February-2023,2338.05,,
2-February-2023,2326.8,,
3-February-2023,2329.05,,
6-February-2023,2311.5,,
7-February-2023,2305.9,,
8-February-2023,2351.8,,
9-February-2023,2355.4,,
10-February-2023,2336.35,,
13-February-2023,2322.75,,
14-February-2023,2377.4,0,
15-February-2023,2430.1,,
16-February-2023,2429.65,,
17-February-2023,2439.85,,
20-February-2023,2415.3,,
21-February-2023,2434.5,,
22-February-2023,2379,,
23-February-2023,2367.55,,
24-February-2023,2385.8,,
27-February-2023,2369.1,,
28-February-2023,2321.95,,
1-March-2023,2343.25,,
2-March-2023,2327.85,,
3-March-2023,2385.05,,
6-March-2023,2407.8,1,180
8-March-2023,2417.55,,
9-March-2023,2360.15,,
10-March-2023,2323.15,0,
13-March-2023,2284.9,,
14-March-2023,2276.5,,
15-March-2023,2236.85,1,30
16-March-2023,2226.05,,
17-March-2023,2223.05,,
20-March-2023,2201.6,,
21-March-2023,2270.05,,
22-March-2023,2276.65,,
23-March-2023,2247.55,,
24-March-2023,2203.5,,
27-March-2023,2237.5,,
28-March-2023,2247.95,,
29-March-2023,2235.25,,
31-March-2023,2331.05,,
3-April-2023,2331.75,,
5-April-2023,2325.5,,
6-April-2023,2341,,
10-April-2023,2324.6,,
11-April-2023,2336.3,,
12-April-2023,2346.4,,
13-April-2023,2355.65,,
17-April-2023,2366.8,,
18-April-2023,2340.05,,
19-April-2023,2351.65,,
20-April-2023,2345.7,,
21-April-2023,2348.9,,
24-April-2023,2357.15,,
25-April-2023,2375.1,,
26-April-2023,2362.05,,
27-April-2023,2377.5,,
28-April-2023,2420.2,,
2-May-2023,2441.05,,
3-May-2023,2419.8,,
4-May-2023,2447.8,,
5-May-2023,2441.3,,
8-May-2023,2471.35,,
9-May-2023,2479.15,,
10-May-2023,2496.3,,
11-May-2023,2478.3,,
12-May-2023,2484.1,,
15-May-2023,2488.15,,
16-May-2023,2453.85,,
17-May-2023,2438.8,,
18-May-2023,2433.85,,
19-May-2023,2442.8,,
22-May-2023,2454.5,,
23-May-2023,2454.1,,
24-May-2023,2437.05,,
25-May-2023,2438.55,,
26-May-2023,2506.55,,
29-May-2023,2519.8,,
30-May-2023,2519.4,,
31-May-2023,2474.7,,
1-June-2023,2462.05,,
2-June-2023,2454.95,,
5-June-2023,2476.8,,
6-June-2023,2480.25,,
7-June-2023,2497.55,,
8-June-2023,2499.8,,
9-June-2023,2481.9,,
12-June-2023,2483.1,,
13-June-2023,2520.4,,
14-June-2023,2552.6,,
15-June-2023,2551.55,,
16-June-2023,2575.4,,
19-June-2023,2551.5,,
20-June-2023,2546.75,,
21-June-2023,2563.6,,
22-June-2023,2535.6,,
23-June-2023,2515.25,,
26-June-2023,2494.2,,
27-June-2023,2495.8,,
28-June-2023,2529.35,,
30-June-2023,2550.7,,
3-July-2023,2615.2,1,90
4-July-2023,2588.25,,
5-July-2023,2584.8,,
6-July-2023,2638.35,,
7-July-2023,2635.45,,
10-July-2023,2735.15,,
11-July-2023,2764.3,,
12-July-2023,2766.2,,
13-July-2023,2743.15,,
14-July-2023,2738.9,,
17-July-2023,2796.4,,
18-July-2023,2822.4,,
19-July-2023,2840,,
20-July-2023,2619.8,,
21-July-2023,2536.2,,
24-July-2023,2487.55,,
25-July-2023,2484.7,,
26-July-2023,2525.7,0,
27-July-2023,2506.3,,
28-July-2023,2527.6,,
31-July-2023,2547.85,,
1-August-2023,2512.65,,
2-August-2023,2486.35,,
3-August-2023,2474.95,1,7
4-August-2023,2510.15,,
7-August-2023,2523.45,,
8-August-2023,2505.65,,
9-August-2023,2523.55,,
10-August-2023,2535.65,,
11-August-2023,2548,,
14-August-2023,2576.75,1,30
16-August-2023,2574.9,,
17-August-2023,2537.75,,
18-August-2023,2556.7,,
21-August-2023,2518.25,,
22-August-2023,2519,,
23-August-2023,2523.15,,
24-August-2023,2478.65,,
25-August-2023,2469.95,0,
28-August-2023,2442.55,,
29-August-2023,2420.25,,
30-August-2023,2418.3,,
31-August-2023,2406.9,,
